product_name,category,avg_rating,avg_price,review_count,text
Arpita Crafts Wooden 2 Pocket Pen Stand Om Swastik 8 Hook Brown Wood Key Holder ,Arpita Crafts,4.195,159.0,200,Terrific Nice product Very Good Nice product Just wow! Must buy! Terrific purchase Delightful Highly recommended Excellent
"ArrowMax Professional Anti-slip Fitness (Black , pack of 2 ) Easy comfort Wrist ",ArrowMax Professional,4.52,245.0,100,Terrific purchase Excellent Very Good Excellent Value-for-money Good choice Perfect product! Highly recommended Awesome Worth every penny
Art Silk Self Design Gold Men Dupatta,Art Silk,4.242857142857143,245.85714285714286,70,Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
Art Silk Self Design Maroon Men Dupatta,Art Silk,4.315789473684211,262.0,19,Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
Artesia Folding Sheesham Wood Relaxing Rest Chair Solid Wood 1 Seater Rocking Ch,Artesia Folding,4.44,4823.0,25,Artesia Folding Sheesham Wood Relaxing Chair Wonderful Pretty good Wonderful Great product Just okay Must buy! Fabulous! Value-for-money Good choice
Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling Fan(Ivory & Black,Atomberg Renesa,3.858156028368794,3569.0,282,Delightful Just wow! Wonderful Worth every penny Worth every penny Simply awesome Worth the money Best in the market! Perfect product! Best in the market!
AutoKraftZ Most Popular Sun UV Protection Arm Sleeves for Men Women Cycling Glov,AutoKraftZ Most,4.0814332247557,79.0,307,Classy product Great product Worth every penny Excellent Fair Does the job Simply awesome Worth the money Highly recommended Just wow!
"BAJAJ 15 L Storage Water Geyser (Popular Plus 15 L, White)",BAJAJ,4.253561253561253,5499.0,1755,Wonderful Wonderful Brilliant Just wow! Good Good quality product Worth every penny Nice product Worth the money Pretty good
"BAJAJ 17 L Solo Microwave Oven(1701MT, White)",BAJAJ,4.502152080344333,4498.0,697,Nice product Mind-blowing purchase Perfect near the dinner table of a small family. Good Product at Great Price Wonderful awesome for the price Nice product Unsatisfactory Fabulous! Bajaj solo microwave is a great product 
"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",BAJAJ,3.824,2599.0,250,Very Good Wonderful Simply awesome Terrific purchase Good Pretty good Just wow! Terrific purchase Wonderful 5 Star Product
BAJAJ 410053 600 W Food Processor(Multicolor),BAJAJ,3.65,6589.0,20,Brilliant Value-for-money Worth the money Great product Bad quality Simply awesome Utterly Disappointed Worst experience ever! Not good Worth every penny
"BAJAJ Crest Neo 1200 mm 3 Blade Ceiling Fan(Brown, Pack of 1)",BAJAJ Crest,3.5365853658536586,1349.0,164,Wonderful Horrible Worth the money Nice product Just okay Mind-blowing purchase Worth every penny Just wow! Really Nice Just okay
"BAJAJ Crest Neo 1200 mm 3 Blade Ceiling Fan(White, Pack of 1)",BAJAJ Crest,4.037003610108303,1329.0,1108,Wonderful Horrible Worth the money Nice product Just okay Mind-blowing purchase Worth every penny Just wow! Really Nice Just okay
BAJAJ FX 11 Food Factory 600 W Food Processor(White),BAJAJ,4.074074074074074,6505.0,27,Perfect product! Delightful Terrific purchase Must buy! Excellent Horrible Worst experience ever! Classy product Good quality product Very Good
BAJAJ FX7 600 W Food Processor,BAJAJ,5.0,6390.0,10,Super! Bajaj FX7 600 W Food Processor Amazing Best in the market! Superb Product by Bajaj & Superb Delivery by Flipkart :) :) Thanks for delivering the Product on time. Terrific purchase Super Product... delivered in less than 24 hours Mind-blowing purchase Just wow!
BAJAJ Fx11 Food Factory 600 W Food Processor(White),BAJAJ Food,3.8585858585858586,6525.0,297,Just okay Brilliant Bajaj FX 11 Bajaj FX 11 Food Processor Worth it Bad quality Superb five star product Thank you flipkart So convenient good product excellent service.
BAJAJ Masterchef 3.0 food processor 600 W Food Processor(White),BAJAJ Masterchef,4.0,6299.0,10,Simply awesome Really Nice Wonderful Awesome Horrible Good Really Nice Awesome Pretty good Good quality product
BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod??(water),BAJAJ Waterproof,4.685393258426966,659.0,89,Just wow! Expected a better product Highly recommended Good Super! Fabulous! Worth the money Great product Fabulous! Highly recommended
BATANIYA Pack of 46 Melamin Melamine dinner set of 46 pieces Dinner Set(White),BATANIYA Pack,4.315436241610739,2780.0,149,Super! Worth every penny Just wow! Highly recommended Terrific Classy product Terrific purchase Wonderful Worth the money Not good
"BLACK RAY Unique 3 Lights Hanging Ceiling Lamp Urban Retro Style (Antique Black,",BLACK RAY,4.228571428571429,631.0,35,Best in the market! Simply awesome Highly recommended Fabulous! Highly recommended Awesome Worth every penny Brilliant Really Nice Good
