product_name,category,review_count,avg_rating,avg_price,cnt_n,rat_n,pop_score
Men Checkered Single Breasted Formal Blazer??(Grey),Men Checkered,24,4.875,3315.6666666666665,0.002371711944803795,0.963235294117647,0.3867
"BAJAJ 17 L Solo Microwave Oven(1701MT, White)",BAJAJ,697,4.502152080344333,4498.0,0.07492453643811989,0.8535741412777449,0.3864
Omi Cart 2 in 1 Floor Brush Scrubber with Long Handle Plastic(Green),Omi Cart,16,4.875,299.0,0.001509271237602415,0.963235294117647,0.3862
LS2727 Avatar Day and Date Functioning Crocodile Strap Analog Analog Watch  - Fo,Avatar Day,8,4.875,284.0,0.000646830530401035,0.963235294117647,0.3857
Seagate One Touch with Password Protection for Windows & Mac with 3 years Data R,Seagate One,1060,4.287735849056604,5462.301886792453,0.1140577835273825,0.7905105438401776,0.3846
"Men Solid Single Breasted Formal, Wedding Blazer??(Blue)",Men Solid,96,4.8125,2299.0,0.010133678309616215,0.9448529411764706,0.384
"PHILIPS MMS8085B/94 Convertible 80 W Bluetooth Home Theatre(Black, 2.1 Channel)",PHILIPS Convertible,1231,4.185215272136475,6999.0,0.13249245364381199,0.7603574329813161,0.3836
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)",Candes,26,4.846153846153846,8999.0,0.00258732212160414,0.9547511312217194,0.3835
"Men Solid Single Breasted Formal, Wedding Blazer??(Black)",Men Solid,32,4.8125,2299.0,0.003234152652005175,0.9448529411764706,0.3799
"Men Solid Single Breasted Formal, Wedding Blazer??(Brown)",Men Solid,32,4.8125,2199.0,0.003234152652005175,0.9448529411764706,0.3799
APPLE iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi Only (Silver),APPLE iPad,249,4.674698795180723,29990.0,0.026627856834842603,0.904323175053154,0.3777
Moonstruck SEABREEZE DELUX COMBO PACK mixer and iron 550 watt 550 Juicer Mixer G,Moonstruck SEABREEZE,20,4.8,1614.0,0.001940491591203105,0.9411764705882353,0.3776
"RSV Jewelery Organizers(Red, Black, Plastic)",RSV Jewelery,10,4.8,299.0,0.00086244070720138,0.9411764705882353,0.377
US DZIRE  512 Ganeshji craft Ceiling light wooden lamp shade (With Bulb) Hanging,DZIRE,100,4.75,440.0,0.010564898663216905,0.9264705882352942,0.3769
Men Solid Double Breasted Casual Blazer??(Blue),Men Solid,28,4.785714285714286,3039.0,0.002802932298404485,0.9369747899159664,0.3765
DRAMIQ Beautiful Kapoor Dani/Aroma Diffuser Cum Night Lamp Electrical Camphor Di,DRAMIQ Beautiful,88,4.75,240.0,0.009271237602414835,0.9264705882352942,0.3762
Pureit Advanced Plus RO+MF+MP 7 L RO + MF Water Purifier(Black),Pureit Advanced,396,4.5732323232323235,7799.0,0.04247520482966796,0.8744800950683305,0.3753
"3D METRO SUPER STORE METRO_MIXER Pro 0 Juicer (1 Jar, Multicolor)",METRO SUPER,28,4.75,199.0,0.002802932298404485,0.9264705882352942,0.3723
Men Solid Single Breasted Casual Blazer??(Purple),Men Solid,35,4.742857142857143,3039.0,0.0035575679172056922,0.9243697478991597,0.3719
Men Self Design Single Breasted Casual Blazer??(Yellow),Men Self,35,4.742857142857143,3199.0,0.0035575679172056922,0.9243697478991597,0.3719
Men Solid Single Breasted Casual Blazer??(Grey),Men Solid,35,4.742857142857143,3199.0,0.0035575679172056922,0.9243697478991597,0.3719
Men Solid Single Breasted Casual Blazer??(Orange),Men Solid,35,4.742857142857143,3199.0,0.0035575679172056922,0.9243697478991597,0.3719
HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Gr,Pavilion Ryzen,637,4.409733124018838,59990.0,0.06845623113410954,0.8263920952996582,0.3716
"DDecora Combo Of 450 ML Vegetable Chopper, Stainless-Steel Whisk and Masher(Pack",DDecora Combo,16,4.75,169.0,0.001509271237602415,0.9264705882352942,0.3715
HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 ,Pavilion Ryzen,34,4.735294117647059,67490.0,0.0034497628288055198,0.9221453287197232,0.3709
SUJATA POWERMANIC WITH ALUMINIUM BASED COMMERCIAL JUG POWERMATIC 900 Juicer (1 J,SUJATA POWERMANIC,19,4.7368421052631575,5499.0,0.0018326865028029326,0.9226006191950462,0.3701
"IFB 23 L Convection Microwave Oven(23SC3, Silver)",IFB,360,4.5472222222222225,9499.0,0.038594221647261756,0.8668300653594772,0.3699
Hamlay by SIGRI-WALA Pack of 40 Melamin Pink Dahlia Dinner Set(Multicolor),Hamlay,195,4.630769230769231,1299.0,0.02080638206123329,0.8914027149321269,0.369
77085PP03 Volt Analog Watch  - For Men,Volt Analog,45,4.711111111111111,699.0,0.0046356188012074175,0.9150326797385622,0.3688
Men Cargos,Men Cargos,2000,3.636,423.395,0.21539456662354461,0.5988235294117648,0.3688
Chhariya Crafts Metal Krishna with Cow Standing Under Tree Plying Flute Decorati,Chhariya Crafts,100,4.68,298.0,0.010564898663216905,0.9058823529411764,0.3687
BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod??(water),BAJAJ Waterproof,89,4.685393258426966,659.0,0.009379042690815007,0.9074686054196959,0.3686
Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pr,Hafele Aqua,18,4.722222222222222,29990.0,0.0017248814144027599,0.9183006535947713,0.3684
ZANDU Balm (25 ml) Pack Of 3 Balm(3 x 25 ml),ZANDU Balm,250,4.592,216.0,0.026735661923242775,0.8799999999999999,0.368
"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",Crompton,1183,4.076923076923077,9999.0,0.1273178094006037,0.7285067873303166,0.3678
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney??(Black 1400 CMH),Hindware Nevio,310,4.554838709677419,13999.0,0.03320396722725313,0.8690702087286526,0.3676
Men Casual Brown Artificial Leather Wallet - Mini??(5 Card Slots),Men Casual,830,4.268674698795181,199.0,0.08926261319534283,0.784904323175053,0.3675
"Dinine Craft Set of 4 Showpiece for Home Decor, Handicraft Showpiece for Table, ",Dinine Craft,200,4.615,199.0,0.021345407503234153,0.8867647058823529,0.3675
Printed Men Three Fourths,Printed Men,1118,4.107334525939177,377.3550983899821,0.1203104786545925,0.7374513311585815,0.3672
"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)",PHILIPS,616,4.3814935064935066,6498.0,0.06619232427770591,0.8180863254392665,0.3669
Hamlay by SIGRI-WALA Pack of 40 Melamin Red Marigold Dinner Set(Multicolor),Hamlay,230,4.591304347826087,1299.0,0.024579560155239325,0.8797953964194374,0.3667
